Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attendance,playoffs,season,playoffs_
11.0,Orlando Magic,25.6,6.0,4.0,6,4,2.7,-1.93,0.77,0.1181797516453161,-0.5762724599025983,102.2,0.22899999999999998,0.33899999999999997,0.569,0.536,14.3,18.7,0.182,0.494,14.1,75.8,0.188,Amway Center,89100.0,no playoffs,2018,no playoffs
12.0,Philadelphia 76ers,25.5,5.0,4.0,4,5,-0.89,1.66,0.77,-0.227440276751371,-0.025386451978087407,102.3,0.228,0.353,0.552,0.53,15.7,24.2,0.156,0.504,13.5,78.8,0.247,Wells Fargo Center,82715.0,no playoffs,2018,no playoffs
13.0,San Antonio Spurs,29.4,6.0,4.0,5,5,-0.1,0.74,0.64,-0.6652256460538426,-0.7336684621667432,96.7,0.252,0.253,0.516,0.479,13.1,25.9,0.187,0.52,14.5,80.8,0.179,AT&T Center,91710.0,no playoffs,2018,no playoffs
14.0,Utah Jazz,27.3,5.0,5.0,5,5,-0.8,1.38,0.58,-0.7804323221860716,-0.6549704610346708,95.6,0.24,0.34600000000000003,0.555,0.514,16.3,19.7,0.19899999999999998,0.522,16.6,77.0,0.18100000000000002,Vivint Smart Home Arena,103358.0,no playoffs,2018,no playoffs
15.0,Minnesota Timberwolves,27.1,7.0,3.0,5,5,-0.4,0.92,0.52,0.9476678197973638,1.1813162320470372,98.2,0.307,0.272,0.57,0.525,14.6,25.9,0.244,0.55,14.2,76.6,0.157,Target Center,81912.0,no playoffs,2018,no playoffs
16.0,Los Angeles Lakers,23.8,5.0,5.0,5,5,-0.8,1.29,0.49,-0.9647630039976375,-0.8910644644308919,103.3,0.259,0.26899999999999996,0.546,0.514,15.2,18.9,0.188,0.506,13.7,79.6,0.172,STAPLES Center,130429.0,no playoffs,2018,no playoffs
17.0,Indiana Pacers,26.6,5.0,5.0,5,5,1.2,-1.21,-0.01,0.8555024788915826,0.6566628911665493,100.4,0.256,0.289,0.569,0.536,13.1,22.1,0.19399999999999998,0.531,13.8,75.7,0.158,Bankers Life Fieldhouse,57591.0,no playoffs,2018,no playoffs
18.0,New York Knicks,26.6,5.0,4.0,4,5,-0.22,-0.03,-0.25,0.2794690982304374,0.3681035536822786,97.4,0.249,0.294,0.545,0.509,14.5,27.2,0.191,0.507,13.0,77.7,0.228,Madison Square Garden (IV),115049.0,no playoffs,2018,no playoffs
19.0,Charlotte Hornets,25.7,5.0,5.0,5,5,-1.0,0.39,-0.61,-0.5269776346951658,-0.34017845650637724,100.2,0.341,0.312,0.5379999999999999,0.502,12.5,20.4,0.233,0.49,11.5,81.0,0.18,Spectrum Center,81195.0,no playoffs,2018,no playoffs
20.0,Denver Nuggets,25.3,5.0,5.0,5,5,-0.3,-0.96,-1.26,0.41771710958911096,0.5517322229904501,98.2,0.262,0.313,0.5489999999999999,0.518,13.7,25.0,0.188,0.5329999999999999,14.6,77.2,0.185,Pepsi Center,82914.0,no playoffs,2018,no playoffs
21.0,New Orleans Pelicans,28.1,5.0,5.0,5,5,-0.4,-0.94,-1.34,-0.6652256460538426,-0.6549704610346708,100.8,0.267,0.35600000000000004,0.546,0.509,14.8,20.8,0.203,0.507,14.8,78.2,0.193,Smoothie King Center,65502.0,no playoffs,2018,no playoffs
22.0,Milwaukee Bucks,25.7,4.0,5.0,4,5,-3.11,1.73,-1.38,0.2564277630039896,1.1288508979589877,96.8,0.231,0.332,0.58,0.5479999999999999,14.1,14.8,0.182,0.535,14.0,79.0,0.251,BMO Harris Bradley Center,75574.0,no playoffs,2018,no playoffs
23.0,Miami Heat,26.3,4.0,6.0,4,6,-2.7,0.99,-1.72,-0.9186803335447452,-0.3139457894623543,98.0,0.204,0.37,0.544,0.515,15.5,18.7,0.157,0.49200000000000005,13.3,75.6,0.23399999999999999,AmericanAirlines Arena,117600.0,no playoffs,2018,no playoffs
24.0,Cleveland Cavaliers,30.9,4.0,6.0,4,6,-4.9,-1.58,-6.48,0.763337137985798,2.1781575797199637,99.1,0.284,0.364,0.5760000000000001,0.5329999999999999,14.3,21.3,0.231,0.5529999999999999,12.2,77.7,0.17600000000000002,Quicken Loans Arena,123372.0,no playoffs,2018,no playoffs
25.0,Chicago Bulls,25.0,2.0,6.0,2,6,-6.38,-0.35,-6.73,-2.577656469848844,-1.2058564689591855,95.5,0.191,0.375,0.48700000000000004,0.45399999999999996,15.2,22.6,0.14800000000000002,0.493,11.9,81.9,0.162,United Center,85704.0,no playoffs,2018,no playoffs
26.0,Brooklyn Nets,25.6,4.0,6.0,4,6,-3.9,-3.6,-7.5,-0.020068259713360695,0.9452222286508162,106.2,0.33399999999999996,0.36,0.539,0.493,12.9,21.8,0.25,0.516,13.0,76.1,0.239,Barclays Center,75583.0,no playoffs,2018,no playoffs
27.0,Dallas Mavericks,28.0,1.0,10.0,2,9,-9.91,1.18,-8.73,-1.1030110153563109,1.4436429024872812,96.5,0.245,0.389,0.527,0.49200000000000005,14.0,19.0,0.184,0.552,14.6,76.5,0.204,American Airlines Center,117992.0,no playoffs,2018,no playoffs
