away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
nyk,22.0,35.0,80.0,chi,28.0,51.0,111.0,11,9
brk,20.0,40.0,98.0,nyk,24.0,37.0,100.0,9,21
nyk,17.0,42.0,87.0,was,32.0,48.0,101.0,22,9
phi,24.0,49.0,101.0,nyk,22.0,36.0,91.0,9,19
ind,13.0,34.0,86.0,nyk,23.0,54.0,102.0,9,20
mil,22.0,42.0,91.0,nyk,18.0,33.0,99.0,9,17
nyk,22.0,46.0,80.0,orl,15.0,49.0,79.0,1,9
nyk,33.0,39.0,112.0,atl,27.0,37.0,108.0,5,9
det,19.0,40.0,90.0,nyk,20.0,44.0,112.0,9,10
nyk,22.0,33.0,90.0,cle,30.0,35.0,95.0,4,9
cle,18.0,52.0,114.0,chi,25.0,42.0,108.0,11,4
cle,18.0,41.0,82.0,por,21.0,48.0,101.0,14,4
cle,6.0,30.0,100.0,uta,26.0,41.0,102.0,8,4
cle,25.0,42.0,110.0,den,22.0,42.0,101.0,13,4
nop,26.0,45.0,118.0,cle,31.0,40.0,111.0,4,24
cle,22.0,40.0,122.0,bos,32.0,39.0,121.0,3,4
atl,39.0,47.0,127.0,cle,26.0,37.0,94.0,4,5
den,18.0,42.0,97.0,cle,25.0,39.0,106.0,4,13
sas,23.0,38.0,90.0,cle,26.0,42.0,92.0,4,28
cle,13.0,41.0,78.0,was,24.0,45.0,91.0,22,4
tor,24.0,46.0,93.0,cle,20.0,34.0,110.0,4,0
orl,30.0,44.0,106.0,cle,14.0,40.0,74.0,4,1
was,23.0,32.0,113.0,cle,24.0,26.0,87.0,4,22
ind,20.0,44.0,109.0,cle,26.0,48.0,97.0,4,20
mil,22.0,40.0,111.0,cle,31.0,40.0,108.0,4,17
cle,19.0,33.0,90.0,nyk,26.0,47.0,87.0,9,4
cle,28.0,48.0,105.0,tor,25.0,40.0,91.0,0,4
cle,25.0,55.0,110.0,brk,25.0,33.0,88.0,21,4
tor,27.0,31.0,105.0,cle,26.0,35.0,101.0,4,0
cle,20.0,48.0,94.0,okc,22.0,46.0,103.0,27,4
cle,22.0,40.0,114.0,nop,21.0,39.0,119.0,24,4
cho,28.0,43.0,97.0,cle,22.0,37.0,88.0,4,26
atl,24.0,33.0,98.0,cle,36.0,40.0,127.0,4,5
brk,22.0,44.0,95.0,cle,23.0,37.0,91.0,4,21
mem,34.0,33.0,105.0,cle,25.0,38.0,91.0,4,18
min,24.0,38.0,125.0,cle,25.0,40.0,104.0,4,29
cle,16.0,37.0,91.0,mia,27.0,43.0,101.0,2,4
cle,19.0,37.0,98.0,orl,25.0,36.0,89.0,1,4
det,25.0,46.0,80.0,cle,21.0,47.0,103.0,4,10
cle,23.0,42.0,101.0,atl,23.0,44.0,109.0,5,4
mil,19.0,49.0,80.0,cle,25.0,54.0,96.0,4,17
cle,16.0,46.0,91.0,cho,20.0,50.0,87.0,26,4
dal,26.0,38.0,90.0,cle,30.0,36.0,109.0,4,25
cle,23.0,43.0,92.0,phi,31.0,43.0,95.0,19,4
hou,16.0,37.0,93.0,cle,26.0,50.0,105.0,4,23
cle,13.0,45.0,94.0,gsw,35.0,44.0,112.0,15,4
cle,18.0,41.0,84.0,sac,20.0,45.0,103.0,7,4
cle,16.0,42.0,100.0,pho,23.0,34.0,107.0,16,4
cle,14.0,38.0,109.0,lal,26.0,35.0,102.0,6,4
cle,23.0,44.0,126.0,lac,26.0,43.0,121.0,12,4
chi,20.0,54.0,108.0,cle,12.0,40.0,94.0,4,11
uta,24.0,45.0,106.0,cle,24.0,42.0,92.0,4,8
cho,29.0,56.0,129.0,cle,27.0,42.0,90.0,4,26
okc,17.0,48.0,108.0,cle,26.0,42.0,98.0,4,27
cle,19.0,47.0,103.0,det,21.0,51.0,95.0,10,4
por,16.0,46.0,99.0,cle,18.0,39.0,94.0,4,14
sac,22.0,44.0,101.0,cle,15.0,50.0,90.0,4,7
cle,16.0,52.0,106.0,min,19.0,35.0,90.0,29,4
phi,22.0,43.0,97.0,cle,23.0,37.0,84.0,4,19
lac,23.0,52.0,105.0,cle,24.0,43.0,94.0,4,12
cle,18.0,43.0,99.0,ind,26.0,41.0,103.0,20,4
lal,31.0,46.0,120.0,cle,22.0,46.0,105.0,4,6
mia,32.0,43.0,113.0,cle,21.0,36.0,93.0,4,2
cle,20.0,43.0,98.0,chi,29.0,47.0,113.0,11,4
cle,28.0,42.0,127.0,was,22.0,43.0,89.0,22,4
cle,22.0,47.0,101.0,nyk,16.0,50.0,83.0,9,4
cle,22.0,40.0,102.0,det,16.0,46.0,93.0,10,4
gsw,15.0,51.0,110.0,cle,32.0,44.0,99.0,4,15
cle,20.0,49.0,86.0,ind,23.0,48.0,93.0,20,4
cle,19.0,53.0,103.0,hou,21.0,36.0,105.0,23,4
bos,28.0,52.0,110.0,cle,23.0,42.0,79.0,4,3
cle,27.0,35.0,120.0,tor,24.0,34.0,112.0,0,4
cle,18.0,37.0,97.0,atl,27.0,38.0,106.0,5,4
pho,22.0,46.0,89.0,cle,20.0,43.0,79.0,4,16
cle,25.0,50.0,127.0,dal,18.0,42.0,94.0,25,4
cle,19.0,37.0,128.0,sas,28.0,41.0,125.0,28,4
cle,26.0,34.0,123.0,orl,24.0,44.0,108.0,1,4
cle,17.0,32.0,92.0,mia,21.0,45.0,106.0,2,4
brk,32.0,43.0,117.0,cle,23.0,32.0,92.0,4,21
ind,18.0,45.0,95.0,cle,23.0,42.0,92.0,4,20
cle,22.0,36.0,108.0,mil,23.0,39.0,90.0,17,4
cle,30.0,49.0,111.0,mem,18.0,32.0,89.0,18,4
cle,17.0,40.0,98.0,brk,21.0,46.0,106.0,21,4
phi,17.0,53.0,87.0,cle,18.0,45.0,86.0,4,19
mia,23.0,43.0,114.0,cle,25.0,36.0,88.0,4,2
chi,24.0,40.0,99.0,cle,28.0,45.0,94.0,4,11
cle,23.0,44.0,104.0,mil,30.0,32.0,99.0,17,4
bos,25.0,42.0,90.0,cle,30.0,43.0,99.0,4,3
cle,18.0,44.0,78.0,bos,29.0,38.0,117.0,3,4
det,30.0,45.0,109.0,cle,21.0,31.0,97.0,4,10
was,29.0,44.0,113.0,cle,26.0,50.0,108.0,4,22
chi,21.0,47.0,104.0,nyk,19.0,38.0,80.0,9,11
cle,25.0,42.0,108.0,chi,18.0,52.0,114.0,11,4
chi,15.0,38.0,106.0,min,26.0,42.0,105.0,29,11
orl,23.0,44.0,98.0,chi,21.0,48.0,90.0,11,1
chi,24.0,42.0,95.0,mil,19.0,50.0,86.0,17,11
chi,25.0,40.0,118.0,phi,29.0,42.0,115.0,19,11
bos,26.0,38.0,101.0,chi,25.0,45.0,106.0,11,3
det,22.0,49.0,102.0,chi,19.0,46.0,91.0,11,10
chi,26.0,48.0,100.0,tor,17.0,38.0,93.0,0,11
ind,18.0,34.0,90.0,chi,18.0,46.0,99.0,11,20
chi,28.0,45.0,105.0,lac,20.0,40.0,89.0,12,11
chi,23.0,42.0,88.0,sac,26.0,40.0,103.0,7,11
chi,14.0,48.0,87.0,por,26.0,46.0,105.0,14,11
chi,20.0,35.0,97.0,uta,22.0,41.0,95.0,8,11
chi,20.0,37.0,109.0,den,22.0,45.0,114.0,13,11
chi,18.0,52.0,109.0,bos,20.0,42.0,102.0,3,11
chi,19.0,50.0,102.0,brk,16.0,34.0,84.0,21,11
dal,38.0,52.0,129.0,chi,30.0,46.0,132.0,11,25
chi,27.0,49.0,102.0,cho,17.0,42.0,95.0,26,11
gsw,24.0,50.0,102.0,chi,27.0,40.0,112.0,11,15
brk,21.0,57.0,105.0,chi,16.0,44.0,80.0,11,21
por,18.0,47.0,115.0,chi,20.0,37.0,106.0,11,14
chi,21.0,44.0,93.0,mia,12.0,40.0,75.0,2,11
chi,18.0,57.0,86.0,atl,26.0,40.0,93.0,5,11
nyk,23.0,32.0,103.0,chi,19.0,41.0,97.0,11,9
chi,17.0,51.0,103.0,mem,12.0,45.0,97.0,18,11
tor,20.0,41.0,129.0,chi,15.0,37.0,120.0,11,0
chi,20.0,52.0,99.0,was,21.0,41.0,91.0,22,11
lal,27.0,57.0,113.0,chi,18.0,39.0,93.0,11,6
nop,19.0,45.0,107.0,chi,18.0,37.0,100.0,11,24
chi,17.0,46.0,92.0,ind,18.0,44.0,90.0,20,11
brk,22.0,48.0,82.0,chi,21.0,46.0,96.0,11,21
den,22.0,46.0,106.0,chi,19.0,57.0,101.0,11,13
bos,19.0,59.0,109.0,chi,26.0,45.0,104.0,11,3
hou,27.0,47.0,114.0,chi,25.0,41.0,105.0,11,23
uta,17.0,43.0,77.0,chi,21.0,48.0,97.0,11,8
chi,16.0,46.0,86.0,was,27.0,48.0,102.0,22,11
mil,24.0,51.0,95.0,chi,19.0,37.0,87.0,11,17
orl,25.0,43.0,114.0,chi,28.0,34.0,121.0,11,1
was,18.0,33.0,99.0,chi,29.0,43.0,105.0,11,22
chi,28.0,36.0,119.0,bos,29.0,45.0,103.0,3,11
atl,25.0,43.0,99.0,chi,31.0,40.0,107.0,11,5
chi,12.0,40.0,94.0,cle,20.0,54.0,108.0,4,11
sas,19.0,46.0,104.0,chi,17.0,39.0,81.0,11,28
chi,22.0,47.0,102.0,dal,16.0,30.0,98.0,25,11
mia,15.0,43.0,84.0,chi,19.0,54.0,96.0,11,2
chi,19.0,61.0,113.0,gsw,31.0,48.0,111.0,15,11
chi,26.0,49.0,118.0,lal,26.0,54.0,123.0,6,11
chi,20.0,49.0,93.0,pho,16.0,50.0,99.0,16,11
chi,16.0,60.0,90.0,hou,18.0,47.0,101.0,23,11
chi,18.0,45.0,107.0,nop,16.0,38.0,72.0,24,11
chi,27.0,35.0,98.0,orl,21.0,45.0,97.0,1,11
sac,26.0,33.0,104.0,chi,23.0,45.0,86.0,11,7
cle,29.0,47.0,113.0,chi,20.0,43.0,98.0,11,4
chi,16.0,43.0,91.0,det,19.0,42.0,100.0,10,11
pho,27.0,47.0,112.0,chi,25.0,36.0,107.0,11,16
mil,20.0,62.0,87.0,chi,16.0,41.0,71.0,11,17
cho,24.0,43.0,86.0,chi,16.0,45.0,98.0,11,26
min,24.0,53.0,96.0,chi,17.0,45.0,89.0,11,29
lac,18.0,51.0,86.0,chi,15.0,55.0,96.0,11,12
was,20.0,47.0,97.0,chi,23.0,39.0,92.0,11,22
okc,26.0,48.0,108.0,chi,20.0,41.0,105.0,11,27
chi,20.0,44.0,84.0,ind,23.0,51.0,98.0,20,11
chi,20.0,44.0,105.0,sas,14.0,35.0,116.0,28,11
mem,18.0,44.0,91.0,chi,25.0,40.0,101.0,11,18
chi,24.0,58.0,104.0,phi,16.0,55.0,95.0,19,11
chi,18.0,36.0,91.0,cho,15.0,55.0,101.0,26,11
chi,20.0,33.0,100.0,okc,16.0,52.0,109.0,27,11
ind,22.0,52.0,103.0,chi,16.0,38.0,86.0,11,20
tor,32.0,47.0,108.0,chi,20.0,36.0,92.0,11,0
chi,22.0,45.0,91.0,det,28.0,44.0,107.0,10,11
cho,21.0,46.0,98.0,chi,11.0,51.0,86.0,11,26
chi,26.0,31.0,116.0,tor,16.0,35.0,103.0,0,11
nyk,28.0,51.0,111.0,chi,22.0,35.0,80.0,11,9
chi,18.0,40.0,91.0,mil,15.0,48.0,95.0,17,11
det,18.0,44.0,88.0,chi,14.0,42.0,82.0,11,10
chi,28.0,45.0,94.0,cle,24.0,40.0,99.0,4,11
chi,25.0,41.0,103.0,orl,21.0,44.0,105.0,1,11
chi,17.0,51.0,89.0,mia,14.0,46.0,78.0,2,11
phi,20.0,48.0,114.0,chi,19.0,47.0,107.0,11,19
chi,26.0,46.0,113.0,brk,12.0,42.0,86.0,21,11
atl,14.0,50.0,91.0,chi,15.0,42.0,85.0,11,5
mil,25.0,35.0,106.0,cho,27.0,50.0,108.0,26,17
phi,25.0,55.0,93.0,mil,20.0,42.0,81.0,17,19
mil,18.0,42.0,97.0,was,28.0,34.0,108.0,22,17
mil,20.0,39.0,87.0,ind,14.0,47.0,81.0,20,17
chi,19.0,50.0,86.0,mil,24.0,42.0,95.0,17,11
mil,26.0,35.0,95.0,det,18.0,40.0,98.0,10,17
mem,24.0,43.0,93.0,mil,15.0,40.0,92.0,17,18
okc,18.0,51.0,85.0,mil,15.0,46.0,78.0,17,27
mil,19.0,38.0,85.0,orl,22.0,45.0,101.0,1,17
mil,16.0,40.0,91.0,mia,19.0,40.0,84.0,2,17
nyk,30.0,44.0,117.0,mil,30.0,28.0,113.0,17,9
mil,23.0,51.0,122.0,brk,26.0,49.0,118.0,21,17
mil,19.0,30.0,82.0,tor,27.0,57.0,124.0,0,17
was,21.0,36.0,100.0,mil,27.0,53.0,111.0,17,22
det,22.0,50.0,98.0,mil,23.0,36.0,86.0,17,10
mil,22.0,43.0,103.0,min,19.0,38.0,86.0,29,17
mil,30.0,44.0,104.0,det,25.0,39.0,88.0,10,17
hou,23.0,32.0,103.0,mil,26.0,44.0,117.0,17,23
mil,31.0,40.0,108.0,cle,22.0,40.0,111.0,4,17
dal,24.0,39.0,105.0,mil,20.0,46.0,107.0,17,25
mia,21.0,45.0,109.0,mil,21.0,20.0,85.0,17,2
mil,17.0,36.0,102.0,dal,29.0,36.0,125.0,25,17
mil,19.0,31.0,101.0,okc,23.0,54.0,114.0,27,17
lac,25.0,39.0,111.0,mil,24.0,35.0,106.0,17,12
mil,23.0,33.0,96.0,pho,17.0,42.0,94.0,16,17
mil,16.0,32.0,97.0,por,25.0,52.0,104.0,14,17
mil,24.0,27.0,108.0,sac,24.0,35.0,107.0,7,17
mil,29.0,46.0,102.0,lac,29.0,41.0,106.0,12,17
cho,25.0,40.0,101.0,mil,21.0,43.0,108.0,17,26
mil,28.0,40.0,107.0,atl,20.0,38.0,77.0,5,17
atl,21.0,47.0,85.0,mil,25.0,51.0,90.0,17,5
mil,21.0,42.0,104.0,cho,20.0,48.0,94.0,26,17
mil,25.0,54.0,96.0,cle,19.0,49.0,80.0,4,17
ind,28.0,43.0,91.0,mil,24.0,45.0,94.0,17,20
mil,23.0,48.0,95.0,nyk,23.0,36.0,82.0,9,17
pho,22.0,44.0,96.0,mil,19.0,46.0,102.0,17,16
mil,32.0,43.0,97.0,phi,14.0,44.0,77.0,19,17
min,30.0,39.0,98.0,mil,22.0,40.0,84.0,17,29
mil,19.0,37.0,87.0,chi,24.0,51.0,95.0,11,17
nyk,21.0,44.0,95.0,mil,22.0,36.0,79.0,17,9
tor,22.0,43.0,89.0,mil,17.0,54.0,92.0,17,0
uta,26.0,40.0,99.0,mil,25.0,43.0,101.0,17,8
det,33.0,45.0,101.0,mil,14.0,46.0,86.0,17,10
mil,29.0,42.0,95.0,sas,22.0,41.0,101.0,28,17
mil,25.0,34.0,109.0,mia,20.0,33.0,102.0,2,17
mil,29.0,38.0,115.0,orl,14.0,49.0,100.0,1,17
por,22.0,50.0,95.0,mil,19.0,44.0,88.0,17,14
mil,24.0,44.0,82.0,tor,14.0,46.0,75.0,0,17
lal,25.0,35.0,113.0,mil,22.0,53.0,105.0,17,6
mil,29.0,41.0,111.0,hou,32.0,42.0,117.0,23,17
bos,21.0,40.0,96.0,mil,20.0,44.0,93.0,17,3
brk,25.0,44.0,103.0,mil,25.0,38.0,97.0,17,21
sac,23.0,45.0,111.0,mil,24.0,48.0,103.0,17,7
den,22.0,46.0,89.0,mil,18.0,45.0,81.0,17,13
atl,19.0,38.0,86.0,mil,23.0,43.0,97.0,17,5
mil,16.0,41.0,71.0,chi,20.0,62.0,87.0,11,17
phi,32.0,43.0,104.0,mil,21.0,38.0,88.0,17,19
mil,18.0,49.0,93.0,lal,23.0,50.0,101.0,6,17
mil,18.0,39.0,75.0,uta,18.0,46.0,82.0,8,17
mil,21.0,41.0,95.0,den,26.0,43.0,106.0,13,17
mil,17.0,47.0,93.0,gsw,30.0,34.0,102.0,15,17
was,25.0,44.0,91.0,mil,19.0,49.0,85.0,17,22
nop,20.0,25.0,103.0,mil,26.0,34.0,114.0,17,24
orl,30.0,51.0,97.0,mil,21.0,33.0,91.0,17,1
mil,17.0,48.0,103.0,ind,24.0,48.0,109.0,20,17
mil,17.0,37.0,83.0,mem,23.0,36.0,96.0,18,17
mil,20.0,49.0,84.0,nop,26.0,50.0,85.0,24,17
sas,28.0,43.0,103.0,mil,27.0,34.0,114.0,17,28
mil,23.0,81.0,127.0,brk,31.0,53.0,129.0,21,17
cle,23.0,39.0,90.0,mil,22.0,36.0,108.0,17,4
mia,25.0,53.0,89.0,mil,18.0,34.0,88.0,17,2
ind,26.0,30.0,111.0,mil,18.0,41.0,107.0,17,20
gsw,24.0,42.0,95.0,mil,27.0,45.0,108.0,17,15
mil,26.0,39.0,88.0,atl,29.0,42.0,101.0,5,17
chi,15.0,48.0,95.0,mil,18.0,40.0,91.0,17,11
mil,31.0,45.0,110.0,bos,19.0,41.0,101.0,3,17
orl,26.0,45.0,90.0,mil,23.0,45.0,97.0,17,1
cle,30.0,32.0,99.0,mil,23.0,44.0,104.0,17,4
mil,18.0,33.0,99.0,nyk,22.0,42.0,91.0,9,17
brk,30.0,47.0,96.0,mil,17.0,49.0,73.0,17,21
mil,23.0,39.0,107.0,phi,22.0,40.0,97.0,19,17
bos,35.0,48.0,100.0,mil,37.0,38.0,105.0,17,3
phi,22.0,50.0,103.0,ind,17.0,42.0,91.0,20,19
mem,19.0,46.0,89.0,ind,20.0,40.0,97.0,20,18
ind,25.0,44.0,92.0,atl,26.0,37.0,102.0,5,20
mil,14.0,47.0,81.0,ind,20.0,39.0,87.0,20,17
ind,22.0,57.0,94.0,was,24.0,43.0,96.0,22,20
ind,18.0,42.0,98.0,bos,26.0,38.0,101.0,3,20
was,11.0,38.0,90.0,ind,23.0,49.0,97.0,20,22
uta,16.0,44.0,97.0,ind,18.0,37.0,86.0,20,8
ind,13.0,53.0,81.0,mia,18.0,28.0,75.0,2,20
den,17.0,42.0,87.0,ind,20.0,46.0,108.0,20,13
ind,18.0,46.0,99.0,chi,18.0,34.0,90.0,11,20
cho,15.0,51.0,88.0,ind,18.0,41.0,86.0,20,26
pho,18.0,47.0,83.0,ind,17.0,51.0,106.0,20,16
ind,20.0,44.0,111.0,dal,21.0,37.0,100.0,25,20
ind,23.0,36.0,100.0,sas,21.0,45.0,106.0,28,20
orl,25.0,53.0,98.0,ind,16.0,32.0,83.0,20,1
ind,26.0,48.0,97.0,cle,20.0,44.0,109.0,4,20
ind,20.0,41.0,99.0,pho,18.0,44.0,116.0,16,20
ind,19.0,51.0,82.0,por,20.0,48.0,88.0,14,20
ind,18.0,43.0,101.0,sac,16.0,49.0,102.0,7,20
atl,23.0,42.0,92.0,ind,27.0,47.0,108.0,20,5
lac,27.0,43.0,96.0,ind,25.0,50.0,103.0,20,12
ind,24.0,39.0,94.0,tor,21.0,52.0,106.0,0,20
por,16.0,49.0,85.0,ind,21.0,46.0,95.0,20,14
lal,21.0,53.0,110.0,ind,14.0,38.0,91.0,20,6
ind,27.0,43.0,100.0,lac,20.0,51.0,102.0,12,20
ind,17.0,50.0,73.0,den,14.0,49.0,76.0,13,20
ind,25.0,36.0,100.0,min,23.0,43.0,96.0,29,20
nop,24.0,38.0,96.0,ind,15.0,46.0,84.0,20,24
ind,25.0,44.0,109.0,det,25.0,42.0,119.0,10,20
ind,33.0,45.0,110.0,brk,15.0,35.0,85.0,21,20
chi,18.0,44.0,90.0,ind,17.0,46.0,92.0,20,11
mia,23.0,39.0,106.0,ind,20.0,36.0,95.0,20,2
ind,24.0,45.0,94.0,mil,28.0,43.0,91.0,17,20
ind,21.0,50.0,87.0,lal,14.0,37.0,88.0,6,20
ind,20.0,35.0,105.0,uta,16.0,41.0,101.0,8,20
ind,24.0,41.0,102.0,gsw,30.0,39.0,117.0,15,20
bos,21.0,56.0,107.0,ind,25.0,50.0,103.0,20,3
ind,16.0,54.0,92.0,phi,21.0,44.0,93.0,19,20
min,22.0,41.0,101.0,ind,22.0,34.0,110.0,20,29
det,22.0,44.0,96.0,ind,17.0,49.0,98.0,20,10
ind,18.0,56.0,71.0,cho,16.0,58.0,80.0,26,20
ind,21.0,43.0,98.0,hou,26.0,39.0,110.0,23,20
ind,22.0,42.0,91.0,atl,30.0,43.0,110.0,5,20
ind,14.0,37.0,87.0,mia,20.0,36.0,89.0,2,20
ind,27.0,47.0,106.0,orl,22.0,33.0,99.0,1,20
tor,22.0,43.0,91.0,ind,21.0,42.0,104.0,20,0
nyk,25.0,49.0,103.0,ind,22.0,33.0,82.0,20,9
sac,22.0,40.0,94.0,ind,16.0,46.0,99.0,20,7
det,28.0,37.0,114.0,ind,23.0,35.0,109.0,20,10
cle,26.0,41.0,103.0,ind,18.0,43.0,99.0,20,4
ind,19.0,40.0,103.0,cho,24.0,35.0,102.0,26,20
sas,24.0,50.0,93.0,ind,18.0,42.0,95.0,20,28
ind,28.0,37.0,106.0,nop,22.0,32.0,93.0,24,20
ind,24.0,44.0,106.0,phi,18.0,47.0,95.0,19,20
gsw,20.0,46.0,104.0,ind,19.0,45.0,98.0,20,15
ind,26.0,48.0,92.0,okc,23.0,57.0,105.0,27,20
cle,23.0,48.0,93.0,ind,20.0,49.0,86.0,20,4
phi,17.0,53.0,94.0,ind,10.0,47.0,74.0,20,19
nyk,21.0,40.0,105.0,ind,16.0,45.0,82.0,20,9
chi,23.0,51.0,98.0,ind,20.0,44.0,84.0,20,11
ind,16.0,45.0,92.0,nyk,13.0,41.0,86.0,9,20
orl,37.0,49.0,118.0,ind,15.0,45.0,86.0,20,1
mil,24.0,48.0,109.0,ind,17.0,48.0,103.0,20,17
bos,16.0,42.0,89.0,ind,28.0,47.0,93.0,20,3
tor,21.0,36.0,98.0,ind,19.0,51.0,117.0,20,0
ind,16.0,38.0,86.0,chi,22.0,52.0,103.0,11,20
ind,23.0,42.0,92.0,cle,18.0,45.0,95.0,4,20
brk,22.0,39.0,111.0,ind,21.0,35.0,123.0,20,21
hou,21.0,40.0,100.0,ind,16.0,35.0,110.0,20,23
ind,21.0,43.0,103.0,was,13.0,46.0,101.0,22,20
ind,18.0,41.0,107.0,mil,26.0,30.0,111.0,17,20
dal,23.0,43.0,104.0,ind,20.0,41.0,99.0,20,25
ind,23.0,37.0,106.0,brk,25.0,41.0,111.0,21,20
ind,17.0,39.0,87.0,bos,29.0,46.0,100.0,3,20
cho,20.0,55.0,93.0,ind,15.0,42.0,74.0,20,26
mia,23.0,55.0,112.0,ind,15.0,37.0,89.0,20,2
ind,23.0,54.0,102.0,nyk,13.0,34.0,86.0,9,20
ind,29.0,42.0,107.0,det,25.0,45.0,103.0,10,20
okc,25.0,52.0,116.0,ind,18.0,43.0,104.0,20,27
was,22.0,56.0,99.0,ind,22.0,59.0,95.0,20,22
ind,15.0,36.0,83.0,mem,12.0,48.0,95.0,18,20
det,15.0,45.0,79.0,den,17.0,51.0,89.0,13,10
det,20.0,46.0,91.0,min,18.0,43.0,97.0,29,10
brk,21.0,41.0,90.0,det,18.0,48.0,102.0,10,21
nyk,17.0,55.0,98.0,det,25.0,43.0,95.0,10,9
mil,18.0,40.0,98.0,det,26.0,35.0,95.0,10,17
uta,19.0,51.0,96.0,det,20.0,43.0,97.0,10,8
det,19.0,46.0,91.0,chi,22.0,49.0,102.0,11,10
det,19.0,39.0,103.0,was,27.0,46.0,107.0,22,10
det,18.0,55.0,96.0,okc,23.0,42.0,89.0,27,10
det,15.0,43.0,88.0,mem,18.0,53.0,95.0,18,10
orl,17.0,41.0,93.0,det,33.0,39.0,107.0,10,1
pho,21.0,43.0,86.0,det,21.0,41.0,88.0,10,16
det,12.0,45.0,89.0,atl,20.0,46.0,99.0,5,10
det,23.0,36.0,86.0,mil,22.0,50.0,98.0,17,10
lac,18.0,38.0,98.0,det,21.0,39.0,104.0,10,12
mil,25.0,39.0,88.0,det,30.0,44.0,104.0,10,17
gsw,25.0,44.0,93.0,det,24.0,49.0,104.0,10,15
lal,20.0,49.0,96.0,det,25.0,47.0,106.0,10,6
det,20.0,55.0,102.0,bos,28.0,49.0,109.0,3,10
phi,22.0,47.0,101.0,det,27.0,53.0,108.0,10,19
okc,25.0,39.0,94.0,det,20.0,50.0,96.0,10,27
por,23.0,47.0,86.0,det,25.0,47.0,98.0,10,14
det,17.0,47.0,105.0,pho,16.0,37.0,103.0,16,10
det,22.0,43.0,95.0,sac,21.0,55.0,90.0,7,10
det,23.0,41.0,91.0,lac,35.0,41.0,113.0,12,10
dal,22.0,42.0,106.0,det,29.0,45.0,117.0,10,25
tor,28.0,49.0,100.0,det,24.0,47.0,110.0,10,0
det,26.0,50.0,105.0,brk,29.0,37.0,110.0,21,10
ind,25.0,42.0,119.0,det,25.0,44.0,109.0,10,20
det,21.0,47.0,103.0,cle,25.0,46.0,80.0,4,10
det,22.0,54.0,109.0,orl,19.0,42.0,86.0,1,10
det,24.0,49.0,97.0,nyk,18.0,47.0,81.0,9,10
sac,21.0,49.0,114.0,det,18.0,41.0,95.0,10,7
det,19.0,45.0,105.0,sas,24.0,41.0,104.0,28,10
det,22.0,60.0,108.0,dal,24.0,43.0,95.0,25,10
atl,24.0,46.0,103.0,det,27.0,49.0,106.0,10,5
brk,27.0,44.0,98.0,det,25.0,46.0,93.0,10,21
det,24.0,46.0,114.0,tor,29.0,42.0,111.0,0,10
nop,23.0,30.0,94.0,det,23.0,47.0,105.0,10,24
det,17.0,49.0,98.0,ind,22.0,44.0,96.0,20,10
phi,27.0,47.0,107.0,det,24.0,42.0,89.0,10,19
det,17.0,61.0,82.0,atl,31.0,42.0,93.0,5,10
orl,35.0,45.0,128.0,det,29.0,42.0,118.0,10,1
det,14.0,46.0,86.0,mil,33.0,45.0,101.0,17,10
det,24.0,44.0,110.0,tor,23.0,37.0,114.0,0,10
cle,21.0,51.0,95.0,det,19.0,47.0,103.0,10,4
det,15.0,38.0,69.0,phi,27.0,48.0,89.0,19,10
hou,28.0,44.0,114.0,det,23.0,39.0,101.0,10,23
mia,27.0,45.0,108.0,det,23.0,35.0,91.0,10,2
det,23.0,35.0,109.0,ind,28.0,37.0,114.0,20,10
den,23.0,51.0,98.0,det,22.0,43.0,88.0,10,13
min,18.0,35.0,101.0,det,26.0,40.0,112.0,10,29
det,21.0,48.0,106.0,cho,21.0,38.0,78.0,26,10
sas,17.0,36.0,87.0,det,26.0,45.0,104.0,10,28
chi,19.0,42.0,100.0,det,16.0,43.0,91.0,10,11
was,22.0,51.0,106.0,det,28.0,43.0,89.0,10,22
cle,16.0,46.0,93.0,det,22.0,40.0,102.0,10,4
nyk,22.0,54.0,115.0,det,28.0,58.0,121.0,10,9
det,18.0,40.0,95.0,was,21.0,43.0,99.0,22,10
det,25.0,52.0,85.0,nop,18.0,46.0,88.0,24,10
det,20.0,50.0,93.0,hou,23.0,55.0,103.0,23,10
cho,21.0,42.0,101.0,det,32.0,39.0,108.0,10,26
det,20.0,42.0,85.0,lal,23.0,46.0,93.0,6,10
det,18.0,49.0,98.0,gsw,29.0,42.0,105.0,15,10
det,23.0,36.0,99.0,por,28.0,43.0,118.0,14,10
det,18.0,44.0,85.0,uta,17.0,45.0,88.0,8,10
mem,26.0,38.0,105.0,det,28.0,42.0,95.0,10,18
det,18.0,51.0,83.0,phi,25.0,42.0,94.0,19,10
chi,28.0,44.0,107.0,det,22.0,45.0,91.0,10,11
det,24.0,56.0,105.0,bos,24.0,59.0,97.0,3,10
tor,26.0,42.0,108.0,det,19.0,43.0,104.0,10,0
det,22.0,41.0,111.0,orl,31.0,40.0,97.0,1,10
det,24.0,37.0,102.0,mia,20.0,46.0,109.0,2,10
atl,26.0,38.0,105.0,det,25.0,43.0,95.0,10,5
det,24.0,51.0,78.0,cho,21.0,55.0,102.0,26,10
det,14.0,42.0,82.0,chi,18.0,44.0,88.0,11,10
