away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
sas,18.0,48.0,87.0,tor,23.0,52.0,82.0,0,28
was,17.0,37.0,95.0,tor,25.0,50.0,93.0,0,22
tor,27.0,52.0,105.0,atl,19.0,52.0,80.0,5,0
tor,12.0,39.0,76.0,hou,22.0,52.0,98.0,23,0
tor,13.0,40.0,97.0,nop,27.0,48.0,100.0,24,0
tor,17.0,37.0,92.0,dal,17.0,40.0,99.0,25,0
gsw,15.0,42.0,89.0,tor,31.0,47.0,113.0,0,15
tor,16.0,40.0,98.0,nyk,21.0,44.0,103.0,9,0
tor,24.0,36.0,114.0,phi,32.0,36.0,103.0,19,0
cle,24.0,34.0,112.0,tor,27.0,35.0,120.0,0,4
tor,21.0,32.0,94.0,cho,26.0,56.0,103.0,26,0
tor,24.0,33.0,104.0,okc,30.0,49.0,108.0,27,0
tor,19.0,46.0,107.0,sas,24.0,45.0,117.0,28,0
mia,26.0,43.0,102.0,tor,21.0,44.0,92.0,0,2
por,20.0,42.0,97.0,tor,27.0,37.0,113.0,0,14
tor,19.0,51.0,117.0,ind,21.0,36.0,98.0,20,0
min,25.0,39.0,105.0,tor,21.0,45.0,100.0,0,29
tor,20.0,36.0,92.0,chi,32.0,47.0,108.0,11,0
nyk,22.0,44.0,106.0,tor,24.0,38.0,89.0,0,9
tor,19.0,43.0,104.0,det,26.0,42.0,108.0,10,0
chi,16.0,35.0,103.0,tor,26.0,31.0,116.0,0,11
lal,25.0,40.0,94.0,tor,14.0,46.0,83.0,0,6
hou,20.0,48.0,99.0,tor,21.0,41.0,96.0,0,23
tor,25.0,34.0,113.0,min,21.0,32.0,99.0,29,0
tor,24.0,40.0,109.0,brk,21.0,41.0,114.0,21,0
bos,15.0,46.0,116.0,tor,26.0,44.0,117.0,0,3
tor,20.0,47.0,92.0,cho,15.0,35.0,74.0,26,0
tor,22.0,46.0,101.0,orl,21.0,46.0,99.0,1,0
tor,12.0,47.0,107.0,mia,14.0,47.0,104.0,2,0
tor,17.0,43.0,93.0,bos,24.0,50.0,95.0,3,0
cho,27.0,32.0,92.0,tor,15.0,36.0,87.0,0,26
brk,28.0,35.0,121.0,bos,20.0,39.0,105.0,3,21
bos,20.0,44.0,90.0,hou,20.0,49.0,104.0,23,3
bos,29.0,49.0,113.0,dal,24.0,36.0,118.0,25,3
tor,22.0,55.0,107.0,bos,18.0,24.0,110.0,3,0
ind,26.0,38.0,101.0,bos,18.0,42.0,98.0,3,20
bos,25.0,45.0,106.0,chi,26.0,38.0,101.0,11,3
okc,28.0,35.0,94.0,bos,23.0,41.0,109.0,3,27
cle,32.0,39.0,121.0,bos,22.0,40.0,122.0,3,4
pho,28.0,44.0,114.0,bos,30.0,40.0,118.0,3,16
bos,32.0,44.0,101.0,phi,22.0,44.0,90.0,19,3
bos,22.0,38.0,100.0,mem,31.0,50.0,117.0,18,3
por,17.0,46.0,88.0,bos,20.0,55.0,94.0,3,14
chi,20.0,42.0,102.0,bos,18.0,52.0,109.0,3,11
sas,21.0,42.0,89.0,bos,25.0,45.0,111.0,3,28
bos,33.0,42.0,105.0,atl,36.0,31.0,109.0,5,3
det,28.0,49.0,109.0,bos,20.0,55.0,102.0,3,10
lal,29.0,54.0,113.0,bos,14.0,38.0,96.0,3,6
was,20.0,49.0,101.0,bos,21.0,52.0,93.0,3,22
bos,27.0,46.0,132.0,was,32.0,49.0,133.0,22,3
bos,26.0,45.0,87.0,cho,18.0,44.0,96.0,26,3
nyk,28.0,41.0,95.0,bos,26.0,40.0,101.0,3,9
bos,26.0,52.0,105.0,phi,19.0,48.0,87.0,19,3
orl,25.0,42.0,109.0,bos,17.0,36.0,92.0,3,1
min,29.0,43.0,114.0,bos,23.0,37.0,98.0,3,29
bos,22.0,42.0,84.0,mia,18.0,38.0,100.0,2,3
bos,22.0,45.0,95.0,orl,23.0,45.0,100.0,1,3
brk,32.0,37.0,107.0,bos,19.0,43.0,109.0,3,21
bos,17.0,36.0,88.0,was,28.0,48.0,101.0,22,3
sac,32.0,49.0,106.0,bos,12.0,46.0,84.0,3,7
dal,22.0,38.0,101.0,bos,24.0,52.0,119.0,3,25
bos,26.0,45.0,104.0,chi,19.0,59.0,109.0,11,3
cho,22.0,33.0,95.0,bos,22.0,48.0,104.0,3,26
bos,22.0,41.0,89.0,brk,18.0,50.0,81.0,21,3
bos,25.0,50.0,103.0,ind,21.0,56.0,107.0,20,3
bos,23.0,43.0,96.0,tor,23.0,48.0,109.0,0,3
nop,24.0,44.0,108.0,bos,20.0,45.0,100.0,3,24
atl,22.0,40.0,91.0,bos,23.0,35.0,105.0,3,5
chi,29.0,45.0,103.0,bos,28.0,36.0,119.0,3,11
bos,24.0,43.0,93.0,lac,27.0,44.0,102.0,12,3
bos,23.0,47.0,90.0,por,16.0,45.0,89.0,14,3
bos,20.0,41.0,100.0,den,20.0,48.0,99.0,13,3
bos,23.0,48.0,111.0,gsw,29.0,47.0,114.0,15,3
bos,18.0,37.0,99.0,uta,18.0,39.0,90.0,8,3
bos,22.0,39.0,98.0,min,18.0,45.0,110.0,29,3
hou,14.0,48.0,87.0,bos,22.0,50.0,93.0,3,23
mia,24.0,40.0,75.0,bos,18.0,46.0,83.0,3,2
bos,23.0,39.0,108.0,nyk,22.0,35.0,97.0,9,3
den,27.0,51.0,104.0,bos,18.0,48.0,100.0,3,13
phi,27.0,53.0,107.0,bos,22.0,44.0,96.0,3,19
bos,20.0,44.0,93.0,mil,21.0,40.0,96.0,17,3
atl,21.0,56.0,89.0,bos,23.0,44.0,88.0,3,5
bos,24.0,40.0,101.0,sac,26.0,57.0,109.0,7,3
bos,27.0,48.0,111.0,lal,22.0,46.0,118.0,6,3
bos,26.0,42.0,115.0,pho,25.0,50.0,110.0,16,3
nyk,29.0,46.0,115.0,bos,19.0,41.0,94.0,3,9
cho,24.0,47.0,106.0,bos,19.0,48.0,98.0,3,26
gsw,21.0,60.0,101.0,bos,19.0,55.0,106.0,3,15
bos,23.0,42.0,79.0,cle,28.0,52.0,110.0,4,3
uta,21.0,39.0,85.0,bos,21.0,51.0,84.0,3,8
bos,19.0,37.0,104.0,nop,22.0,45.0,98.0,24,3
bos,24.0,48.0,98.0,orl,20.0,56.0,103.0,1,3
bos,17.0,43.0,100.0,mia,15.0,32.0,90.0,2,3
mem,28.0,36.0,95.0,bos,21.0,41.0,92.0,3,18
orl,19.0,47.0,95.0,bos,20.0,50.0,88.0,3,1
bos,28.0,47.0,93.0,ind,16.0,42.0,89.0,20,3
phi,27.0,42.0,108.0,bos,20.0,40.0,89.0,3,19
bos,32.0,39.0,118.0,okc,19.0,46.0,122.0,27,3
bos,19.0,47.0,89.0,sas,31.0,45.0,101.0,28,3
det,24.0,59.0,97.0,bos,24.0,56.0,105.0,3,10
bos,25.0,47.0,110.0,brk,15.0,48.0,91.0,21,3
mia,16.0,43.0,86.0,bos,23.0,38.0,93.0,3,2
bos,18.0,44.0,96.0,nyk,23.0,36.0,92.0,9,3
lac,29.0,40.0,106.0,bos,28.0,53.0,119.0,3,12
bos,28.0,42.0,116.0,cho,20.0,40.0,104.0,26,3
ind,29.0,46.0,100.0,bos,17.0,39.0,87.0,3,20
mil,19.0,41.0,101.0,bos,31.0,45.0,110.0,3,17
bos,26.0,44.0,117.0,tor,15.0,46.0,116.0,0,3
bos,20.0,37.0,113.0,det,29.0,41.0,103.0,10,3
bos,30.0,43.0,99.0,cle,25.0,42.0,90.0,4,3
cle,29.0,38.0,117.0,bos,18.0,44.0,78.0,3,4
tor,24.0,50.0,95.0,bos,17.0,43.0,93.0,3,0
bos,37.0,38.0,105.0,mil,35.0,48.0,100.0,17,3
brk,20.0,39.0,105.0,bos,28.0,35.0,121.0,3,21
brk,18.0,48.0,102.0,det,21.0,41.0,90.0,10,21
okc,25.0,42.0,116.0,brk,14.0,44.0,85.0,21,27
